run_type,dataset,model,prompt_mode,challenge_group,categories,weighted_iou,mean_iou,mean_boundary_f1,category_count,instance_count
zero_shot,isaac_official_unitree_g1,sam2_hiera_large,box,small_parts_thin_structures,"cable, connector, rubber_part, screw, sensor_module, tool",0.7258283572894366,0.7358515667094284,0.9257046346764106,6,22014
zero_shot,blenderproc_cogar_sim,sam2_hiera_large,point,robot_and_occlusion,robot_gripper,0.7280819470537473,0.7280819470537473,0.7499598627983789,1,1633
zero_shot,blenderproc_cogar_sim,fastsam_x,box,scene_support_and_background,"box, table",0.730090386245035,0.7735531412864579,0.7542530277746349,2,2269
zero_shot,ocid,sam_vit_b,automatic,other,object,0.7305978965807334,0.7305978965807334,0.6764823544850559,1,21487
zero_shot,isaac_official_unitree_g1,sam2_hiera_large,point,scene_support_and_background,"background_fixture, storage_bin, workbench",0.7387423156790002,0.7160637424599997,0.6819809501782174,3,17683
zero_shot,blenderproc_cogar_sim,sam2_hiera_large,automatic,small_parts_thin_structures,"cable, connector, screw, tool",0.740006781214555,0.7174828737813601,0.7719492773465744,4,2368
zero_shot,isaac_official_unitree_g1,sam_vit_b,point,scene_support_and_background,"background_fixture, storage_bin, workbench",0.7422481832269574,0.7214612682244265,0.6911846692951276,3,17683
zero_shot,isaac_official_unitree_g1,sam_vit_h,point,transparent_reflective_surfaces,"metal_part, transparent_glass",0.7425291047939885,0.7468303602177584,0.807821702739157,2,9991
zero_shot,isaac_official_unitree_g1,sam2_hiera_large,point,transparent_reflective_surfaces,"metal_part, transparent_glass",0.7477495306608368,0.7519714845828569,0.8188292529058725,2,9991
zero_shot,blenderproc_cogar_sim,fastsam_x,automatic,scene_support_and_background,"box, table",0.752311261722859,0.8097776598942044,0.7708252098499793,2,2269
zero_shot,isaac_official_unitree_g1,sam_vit_b,box,small_parts_thin_structures,"cable, connector, rubber_part, screw, sensor_module, tool",0.7539313316604783,0.7628254040587304,0.9367770252266423,6,22014
zero_shot,isaac_official_unitree_g1,fastsam_x,automatic,scene_support_and_background,"background_fixture, storage_bin, workbench",0.7553893416261793,0.7418482273449788,0.7151331047549054,3,17683
baseline,blenderproc_cogar_sim,mask_rcnn,inference,other,plastic_object,0.7564298067347813,0.7564298067347813,0.7774577654712387,1,32
baseline,blenderproc_cogar_sim,mask_rcnn,inference,transparent_reflective_surfaces,"glass_object, metal_part",0.756651096529606,0.7597591434485224,0.7129755672268314,2,58
baseline,blenderproc_cogar_sim,deeplabv3plus,inference,transparent_reflective_surfaces,"glass_object, metal_part",0.7579432813388741,0.7579432813388741,0.5380943508375391,2,0
zero_shot,ocid,sam2_hiera_large,point,other,object,0.7585420059070903,0.7585420059070903,0.737490971945824,1,21487
zero_shot,ocid,fastsam_x,box,other,object,0.7643104971739735,0.7643104971739735,0.7373700285300642,1,21487
zero_shot,blenderproc_cogar_sim,sam_vit_h,automatic,robot_and_occlusion,robot_gripper,0.7761327641077882,0.7761327641077882,0.8024266584235241,1,1633
zero_shot,isaac_official_unitree_g1,sam_vit_h,box,small_parts_thin_structures,"cable, connector, rubber_part, screw, sensor_module, tool",0.7763742665795526,0.7848606536680215,0.9488447449809136,6,22014
zero_shot,blenderproc_cogar_sim,sam_vit_b,automatic,small_parts_thin_structures,"cable, connector, screw, tool",0.7769210803094213,0.7686088247621015,0.8157716673567637,4,2368
