run_type,dataset,model,prompt_mode,evaluation_type,category,iou,boundary_f1,count
zero_shot,blenderproc_cogar_sim,sam_vit_h,automatic,automatic_class_agnostic_proposal,cable,0.8446683869366161,0.9034064011748985,408
zero_shot,ocid,sam_vit_h,box,prompted_instance,object,0.8452409639470332,0.7754535484397148,21487
zero_shot,isaac_official_unitree_g1,sam_vit_h,box,prompted_instance,connector,0.8452816098973733,0.9705744731956008,5457
zero_shot,blenderproc_cogar_sim,sam2_hiera_large,box,prompted_instance,screw,0.845450174093237,0.9606165880167802,674
zero_shot,blenderproc_cogar_sim,sam_vit_h,point,prompted_instance,metal_part,0.8463820094983808,0.865910389826116,869
zero_shot,isaac_official_unitree_g1,sam_vit_h,box,prompted_instance,tool,0.8468146989100392,0.9448367714025534,1807
baseline,isaac_official_unitree_g1,yolo8_seg,inference,instance_segmentation,storage_bin,0.8473045643227172,0.8195670406840753,358
baseline,ocid,yolo8_seg,inference,instance_segmentation,object,0.8475484078632534,0.7841866739947979,531
zero_shot,blenderproc_cogar_sim,fastsam_x,automatic,automatic_class_agnostic_proposal,glass_object,0.8487040568051778,0.837041535278615,634
zero_shot,blenderproc_cogar_sim,sam_vit_b,point,prompted_instance,metal_part,0.8518345829985116,0.8665509307505538,869
baseline,blenderproc_cogar_sim,yolo8_seg,inference,instance_segmentation,metal_part,0.8545107969501609,0.8963378967192233,33
zero_shot,isaac_official_unitree_g1,sam_vit_h,automatic,automatic_class_agnostic_proposal,moving_object,0.8575749292098758,0.9013952732142368,1551
zero_shot,blenderproc_cogar_sim,sam_vit_h,box,prompted_instance,cable,0.8588669227617537,0.9260566007358643,408
baseline,isaac_official_unitree_g1,mask_rcnn,inference,instance_segmentation,moving_object,0.8604349194109466,0.9302367295194511,107
baseline,blenderproc_cogar_sim,yolo8_seg,inference,instance_segmentation,connector,0.8605059875041648,0.9046283248814987,34
baseline,blenderproc_cogar_sim,yolo8_seg,inference,instance_segmentation,glass_object,0.8613772347831996,0.7876187461067106,25
zero_shot,blenderproc_cogar_sim,fastsam_x,box,prompted_instance,box,0.8618405103007718,0.8765401365187786,576
zero_shot,blenderproc_cogar_sim,sam_vit_b,box,prompted_instance,screw,0.8624240972984428,0.9647361744513991,674
baseline,isaac_official_unitree_g1,deeplabv3plus,inference,semantic_segmentation,moving_object,0.8638363171355499,0.9486772195173744,
zero_shot,isaac_official_unitree_g1,sam_vit_b,box,prompted_instance,transparent_glass,0.8638982811296227,0.9046997345516453,4331
